gid,role,role_score,cluster_id,priority_score,evidence,is_seed,depth,truncated,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,hold_median_days,seed_reach,n_seed_payers,betweenness,sync_max_payers,in_cycle,inflow_outside_sample
100000000011452100,peripheral,1.0,3,0.5593,"Признаков роли нет: связи 3 вх./1 исх., оборот 110 тыс. ₸; блокировка отсекает 127 тыс. ₸",False,1,False,3,1,110000.0,16685.0,7,2,0.1517,2.0,7,1,3e-06,1,True,False
100000000018102100,peripheral,1.0,3,0.2268,Граница выборки (4-е колено): исходящие не видны; получено 7 тыс. ₸ от 1 плательщика,False,4,True,1,0,7000.0,0.0,1,0,0.0,,7,0,0.0,1,False,False
100000000031787100,transit,1.0,14,0.6523,"Признаки транзита: пришло 90 тыс. ₸, ушло 100% за ~2 дн.; связи 1→2; блокировка отсекает 180 тыс. ₸",False,2,False,1,2,90000.0,90000.0,2,4,1.0,2.0,1,0,0.0,1,True,False
100000000041368100,peripheral,1.0,8,0.2914,"Признаков роли нет: связи 1 вх./0 исх., оборот 160 тыс. ₸",False,1,False,1,0,160000.0,0.0,1,0,0.0,,10,1,0.0,1,False,False
100000000076451100,peripheral,1.0,2,0.582,"Признаков роли нет: связи 3 вх./4 исх., оборот 88 тыс. ₸; блокировка отсекает 158 тыс. ₸",False,2,False,3,4,87707.0,58000.0,4,4,0.6613,5.0,7,0,9.8e-05,2,True,False
100000000089154100,transit,1.0,1,0.7274,Признаки транзита: ушло 426 тыс. ₸ при видимом входе 10 тыс. ₸ за ~0 дн. — приток вне выборки; в ядре-кольце из 85; блокировка отсекает 436 тыс. ₸,False,1,False,1,15,10000.0,425500.0,1,21,42.55,0.0,7,1,0.000109,1,True,True
100000000190228100,peripheral,1.0,11,0.4407,"Признаков роли нет: связи 1 вх./1 исх., оборот 29 тыс. ₸",False,2,False,1,1,5000.0,28560.0,1,1,5.712,,8,0,2.2e-05,1,False,True
100000000201868100,transit,1.0,2,0.6257,"Признаки транзита: пришло 190 тыс. ₸, ушло 100% за ~1 дн.; связи 1→1; блокировка отсекает 380 тыс. ₸",False,2,False,1,1,190000.0,190000.0,1,1,1.0,1.0,7,0,0.0,1,True,False
100000000254336100,peripheral,1.0,10,0.5538,"Признаков роли нет: связи 2 вх./1 исх., оборот 97 тыс. ₸; блокировка отсекает 157 тыс. ₸",False,3,False,2,1,97177.0,60000.0,2,1,0.6174,0.5,7,0,1.9e-05,1,False,False
100000000267734100,transit,1.0,14,0.7705,Признаки транзита: ушло 282 тыс. ₸ при видимом входе 180 тыс. ₸ за ~1 дн. — приток вне выборки; блокировка отсекает 553 тыс. ₸,False,1,False,2,7,180000.0,282000.0,4,8,1.5667,1.0,1,1,4e-06,1,True,True
100000000274067100,transit,1.0,14,0.8141,"Признаки транзита: ушло 3,0 млн ₸ при видимом входе 518 тыс. ₸ за ~0 дн. — приток вне выборки; блокировка отсекает 4,6 млн ₸",False,1,False,2,3,517704.0,2969000.0,9,9,5.7349,0.0,1,1,1e-06,1,True,True
100000000287768100,peripheral,1.0,3,0.2587,"Признаков роли нет: связи 1 вх./0 исх., оборот 35 тыс. ₸",False,3,False,1,0,35168.0,0.0,1,0,0.0,,7,0,0.0,1,False,False
100000000288317100,peripheral,1.0,3,0.5688,"Признаков роли нет: связи 2 вх./3 исх., оборот 100 тыс. ₸; блокировка отсекает 154 тыс. ₸",False,3,False,2,3,100000.0,53500.0,2,3,0.535,0.0,7,0,5.8e-05,1,False,False
100000000291906100,transit,1.0,39,0.8129,"Признаки транзита: пришло 388 тыс. ₸, ушло 117% за ~0 дн.; связи 2→2; блокировка отсекает 1,2 млн ₸",False,2,False,2,2,388000.0,455854.0,3,6,1.1749,0.0,7,0,7.8e-05,1,True,False
100000000291908100,peripheral,1.0,39,0.5245,"Признаков роли нет: связи 1 вх./1 исх., оборот 296 тыс. ₸; блокировка отсекает 309 тыс. ₸",False,3,False,1,1,295500.0,13300.0,5,1,0.045,4.0,7,0,2e-05,1,False,False
100000000297649100,peripheral,1.0,16,0.4054,"Признаков роли нет: связи 1 вх./1 исх., оборот 71 тыс. ₸; блокировка отсекает 111 тыс. ₸",False,2,False,1,1,40000.0,70600.0,1,2,1.765,8.0,8,0,0.0,1,True,True
100000000299820100,peripheral,1.0,3,0.2304,Граница выборки (4-е колено): исходящие не видны; получено 10 тыс. ₸ от 1 плательщика,False,4,True,1,0,10000.0,0.0,1,0,0.0,,7,0,0.0,1,False,False
